id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14568,2021-01-04,000001,Vente,156000,1,B,RUE DE SERREBOURGES,2031,05000,05061,Gap,05,,,05061000CI0144,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.068737,44.550965
2021-14568,2021-01-04,000001,Vente,156000,1,B,RUE DE SERREBOURGES,2031,05000,05061,Gap,05,,,05061000CI0144,,,20,103.3,3,,,,,,,,2,2,Appartement,108,4,,,,,,6.068737,44.550965
2021-14569,2021-01-06,000001,Vente,125000,,,SOUS LES BARRETS,B248,05400,05123,La Roche-des-Arnauds,05,,,051230000E1667,,,,,,,,,,,,,0,,,,,L,landes,,,16,5.925349,44.561305
2021-14569,2021-01-06,000001,Vente,125000,168,,SOUS LES BARRETS,B248,05400,05123,La Roche-des-Arnauds,05,,,051230000E1668,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,984,5.925456,44.561463
2021-14569,2021-01-06,000001,Vente,125000,168,,SOUS LES BARRETS,B248,05400,05123,La Roche-des-Arnauds,05,,,051230000E1668,,,,,,,,,,,,,0,1,Maison,82,2,S,sols,,,984,5.925456,44.561463
2021-14570,2021-01-05,000001,Vente,50000,5010,,LE VILLAGE D ANTONAVES,B117,05300,05118,Val Buëch-Méouge,05,,,051180050A0596,,,,,,,,,,,,,0,1,Maison,66,3,S,sols,,,54,5.80496,44.266544
2021-14570,2021-01-05,000001,Vente,50000,,,LE VILLAGE D ANTONAVES,B117,05300,05118,Val Buëch-Méouge,05,,,051180050A0597,,,,,,,,,,,,,0,,,,,S,sols,,,40,5.805015,44.266507
2021-14570,2021-01-05,000001,Vente,50000,,,LE VILLAGE D ANTONAVES,B117,05300,05118,Val Buëch-Méouge,05,,,051180050A0598,,,,,,,,,,,,,0,,,,,S,sols,,,51,5.804902,44.266497
2021-14570,2021-01-05,000001,Vente,50000,,,LE VILLAGE D ANTONAVES,B117,05300,05118,Val Buëch-Méouge,05,,,051180050A0740,,,,,,,,,,,,,0,,,,,L,landes,,,28,5.804984,44.266573
2021-14570,2021-01-05,000001,Vente,50000,,,LE VILLAGE D ANTONAVES,B117,05300,05118,Val Buëch-Méouge,05,,,051180050A0741,,,,,,,,,,,,,0,,,,,L,landes,,,13,5.805025,44.266556
