code_commune_INSEE;nom_commune_postal;code_postal;libelle_acheminement;ligne_5;latitude;longitude;code_commune;article;nom_commune;nom_commune_complet;code_departement;nom_departement;code_region;nom_region
97421;SALAZIE;97433;SALAZIE;;-21.0469188863;55.5082381926;21;;Salazie;Salazie;974;La Réunion;4;La Réunion
97421;SALAZIE;97433;SALAZIE;HELL BOURG;-21.0469188863;55.5082381926;21;;Salazie;Salazie;974;La Réunion;4;La Réunion
97422;LE TAMPON;97418;LE TAMPON;LA PLAINE DES CAFRES;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97422;LE TAMPON;97418;LE TAMPON;TAMPON 17EME KM;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97422;LE TAMPON;97430;LE TAMPON;;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97422;LE TAMPON;97430;LE TAMPON;LES TROIS MARES;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97422;LE TAMPON;97430;LE TAMPON;PONT D YVES;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97422;LE TAMPON;97430;LE TAMPON;TAMPON 14EME KM;-21.223274585;55.5584875266;22;Le;Tampon;Le Tampon;974;La Réunion;4;La Réunion
97423;LES TROIS BASSINS;97426;LES TROIS BASSINS;;-21.1104753596;55.3297522865;23;Les;Trois-Bassins;Les Trois-Bassins;974;La Réunion;4;La Réunion
97424;CILAOS;97413;CILAOS;;-21.1441659144;55.4586035944;24;;Cilaos;Cilaos;974;La Réunion;4;La Réunion
97424;CILAOS;97413;CILAOS;PALMISTE ROUGE;-21.1441659144;55.4586035944;24;;Cilaos;Cilaos;974;La Réunion;4;La Réunion
97601;ACOUA;97630;ACOUA;;-12.7238913738;45.0687067258;1;;Acoua;Acoua;976;Mayotte;6;Mayotte
97602;BANDRABOUA;97650;BANDRABOUA;;-12.7232292527;45.1181212208;2;;Bandraboua;Bandraboua;976;Mayotte;6;Mayotte
97603;BANDRELE;97660;BANDRELE;;-12.9305468714;45.1775042961;3;;Bandrele;Bandrele;976;Mayotte;6;Mayotte
97604;BOUENI;97620;BOUENI;;-12.9244813606;45.0984953615;4;;Bouéni;Bouéni;976;Mayotte;6;Mayotte
97605;CHICONI;97670;CHICONI;;-12.821522233;45.1132970298;5;;Chiconi;Chiconi;976;Mayotte;6;Mayotte
97606;CHIRONGUI;97620;CHIRONGUI;;-12.9197356613;45.1484046861;6;;Chirongui;Chirongui;976;Mayotte;6;Mayotte
97607;DEMBENI;97660;DEMBENI;;-12.8534223602;45.1755961092;7;;Dembeni;Dembeni;976;Mayotte;6;Mayotte
97608;DZAOUDZI;97615;DZAOUDZI;;-12.7791666355;45.2822648358;8;;Dzaoudzi;Dzaoudzi;976;Mayotte;6;Mayotte
97608;DZAOUDZI;97615;DZAOUDZI;LABATTOIR;-12.7791666355;45.2822648358;8;;Dzaoudzi;Dzaoudzi;976;Mayotte;6;Mayotte
97609;KANI KELI;97625;KANI KELI;;-12.9717285854;45.1251508512;9;;Kani-Kéli;Kani-Kéli;976;Mayotte;6;Mayotte
97610;KOUNGOU;97600;KOUNGOU;;-12.7465604467;45.1869991913;10;;Koungou;Koungou;976;Mayotte;6;Mayotte
97611;MAMOUDZOU;97600;MAMOUDZOU;;-12.7899979586;45.1932456026;11;;Mamoudzou;Mamoudzou;976;Mayotte;6;Mayotte
97611;MAMOUDZOU;97600;MAMOUDZOU;KAWENI;-12.7899979586;45.1932456026;11;;Mamoudzou;Mamoudzou;976;Mayotte;6;Mayotte
97611;MAMOUDZOU;97605;MAMOUDZOU;PASSAMAINTI;-12.7899979586;45.1932456026;11;;Mamoudzou;Mamoudzou;976;Mayotte;6;Mayotte
97611;MAMOUDZOU;97650;MAMOUDZOU;DZOUMOGNE;-12.7899979586;45.1932456026;11;;Mamoudzou;Mamoudzou;976;Mayotte;6;Mayotte
97611;MAMOUDZOU;97680;MAMOUDZOU;COMBANI;-12.7899979586;45.1932456026;11;;Mamoudzou;Mamoudzou;976;Mayotte;6;Mayotte
97612;MTSAMBORO;97630;MTSAMBORO;;-12.6875073612;45.0736802335;12;;Mtsamboro;Mtsamboro;976;Mayotte;6;Mayotte
97613;M TSANGAMOUJI;97650;M TSANGAMOUJI;;-12.7513099309;45.0871696871;13;;M'Tsangamouji;M'Tsangamouji;976;Mayotte;6;Mayotte
97614;OUANGANI;97670;OUANGANI;;-12.8370955196;45.1379095497;14;;Ouangani;Ouangani;976;Mayotte;6;Mayotte
97614;OUANGANI;97670;OUANGANI;COCONI;-12.8370955196;45.1379095497;14;;Ouangani;Ouangani;976;Mayotte;6;Mayotte
97615;PAMANDZI;97615;PAMANDZI;;-12.7961353309;45.2842063102;15;;Pamandzi;Pamandzi;976;Mayotte;6;Mayotte
97616;SADA;97640;SADA;;-12.8611649609;45.1185503145;16;;Sada;Sada;976;Mayotte;6;Mayotte
97617;TSINGONI;97680;TSINGONI;;-12.7821666736;45.1344279083;17;;Tsingoni;Tsingoni;976;Mayotte;6;Mayotte
